x y z r g b label
3.17564 0.39964 -0.50085 161 161 161 1
3.18793 0.40155 -0.37557 164 164 164 1
3.19800 0.40144 -0.25032 164 164 164 1
3.21253 0.39747 -0.12522 169 169 169 1
3.22090 0.79996 0.00125 163 163 163 1
3.21450 0.80043 0.12680 168 168 168 1
3.19442 0.80011 0.25116 171 171 171 1
3.18841 0.80343 0.37638 168 168 168 1
3.17909 0.79673 0.50177 170 170 170 1
3.15557 0.80262 0.62516 165 165 165 1
3.12751 0.79695 0.74755 175 175 175 1
3.09431 0.80341 0.86859 176 176 176 1
3.05613 0.79861 0.98809 178 178 178 1
3.01854 0.79980 1.10785 177 177 177 1
2.96832 0.80158 1.22291 179 179 179 1
2.92434 0.79851 1.34065 171 171 171 1
2.87543 0.80220 1.45669 187 187 187 1
2.80572 0.79804 1.56191 179 179 179 1
2.74636 0.79878 1.67260 183 183 183 1
2.68337 0.80100 1.78155 181 181 181 1
2.60914 0.80402 1.88312 185 185 185 1
2.52925 0.80221 1.98020 178 178 178 1
2.45757 0.79891 2.08402 181 181 181 1
2.36940 0.79881 2.17397 192 192 192 1
2.28562 0.80069 2.26791 184 184 184 1
2.19492 0.79812 2.35519 190 190 190 1
2.09318 0.79782 2.42984 184 184 184 1
1.99720 0.79906 2.51063 184 184 184 1
1.89757 0.80100 2.58693 189 189 189 1
1.80107 0.80048 2.66836 191 191 191 1
1.69124 0.80304 2.73016 194 194 194 1
1.58209 0.79986 2.79242 189 189 189 1
1.46970 0.79888 2.84849 195 195 195 1
1.35977 0.79863 2.90970 199 199 199 1
1.24448 0.80289 2.95993 190 190 190 1
1.12625 0.79895 3.00269 185 185 185 1
1.00653 0.80128 3.04067 193 193 193 1
0.88951 0.79797 3.08798 196 196 196 1
0.76594 0.79878 3.11266 201 201 201 1
0.64340 0.80054 3.14050 193 193 193 1
0.51903 0.80187 3.15855 187 187 187 1
0.39517 0.79941 3.17980 205 205 205 1
0.26952 0.80005 3.18494 193 193 193 1
0.14433 0.80286 3.19207 194 194 194 1
0.01896 0.79610 3.19569 199 199 199 1
-0.10648 0.79821 3.19384 189 189 189 1
-0.23164 0.79633 3.18550 204 204 204 1
-0.35627 0.79657 3.17160 201 201 201 1
-0.48259 0.79871 3.16794 197 197 197 1
-0.60539 0.80042 3.14005 197 197 197 1
-0.73002 0.79773 3.12097 197 197 197 1
-0.84857 0.80123 3.07730 197 197 197 1
-0.96866 0.80313 3.04085 192 192 192 1
-1.08452 0.80204 2.99238 194 194 194 1
-1.20576 0.80102 2.95798 195 195 195 1
-1.31977 0.79564 2.90518 189 189 189 1
-1.43445 0.80234 2.85372 196 196 196 1
-1.54647 0.80273 2.79652 189 189 189 1
-1.65534 0.79640 2.73347 195 195 195 1
-1.76104 0.79753 2.66520 185 185 185 1
-1.85950 0.80266 2.58673 192 192 192 1
-1.95865 0.80048 2.50984 186 186 186 1
-2.05638 0.79782 2.43116 189 189 189 1
-2.14921 0.79931 2.34677 178 178 178 1
-2.24489 0.80815 2.26510 197 197 197 1
-2.33094 0.79861 2.17348 190 190 190 1
-2.41591 0.80046 2.08083 179 179 179 1
-2.49900 0.80274 1.98625 180 180 180 1
-2.57231 0.80500 1.88392 181 181 181 1
-2.64279 0.79761 1.77977 188 188 188 1
-2.70830 0.79949 1.67252 181 181 181 1
-2.77305 0.80282 1.56485 183 183 183 1
-2.82821 0.79771 1.45195 179 179 179 1
-2.88056 0.80101 1.33795 178 178 178 1
-2.94014 0.80043 1.22695 181 181 181 1
-2.98107 0.79729 1.10802 173 173 173 1
-3.02777 0.80059 0.99119 177 177 177 1
-3.06381 0.80057 0.87068 174 174 174 1
-3.09219 0.80031 0.74817 177 177 177 1
-3.12563 0.79908 0.62675 175 175 175 1
-3.14215 0.79674 0.50192 172 172 172 1
-3.15897 0.79741 0.37738 172 172 172 1
-3.17375 0.79609 0.25252 159 159 159 1
-3.19098 0.79860 0.12737 164 164 164 1
-3.16863 0.80083 0.00125 163 163 163 1
-3.17667 0.79758 -0.12431 162 162 162 1
-3.16356 0.80350 -0.24922 165 165 165 1
-3.15552 0.80308 -0.37447 172 172 172 1
-3.14217 0.79804 -0.49942 171 171 171 1
-3.11757 0.80265 -0.62264 164 164 164 1
-3.08847 0.79796 -0.74478 158 158 158 1
-3.05726 0.79786 -0.86634 161 161 161 1
-3.02290 0.79665 -0.98711 157 157 157 1
-2.97675 0.80636 -1.10393 156 156 156 1
-2.93970 0.80172 -1.22427 158 158 158 1
-2.88825 0.79629 -1.33899 152 152 152 1
-2.84009 0.79643 -1.45551 162 162 162 1
-2.76538 0.80287 -1.55805 151 151 151 1
-2.71340 0.80141 -1.67314 151 151 151 1
-2.64200 0.79664 -1.77675 154 154 154 1
-2.57390 0.80136 -1.88257 149 149 149 1
-2.49736 0.80045 -1.98246 150 150 150 1
-2.41476 0.80346 -2.07734 151 151 151 1
-2.33648 0.80388 -2.17610 149 149 149 1
-2.24153 0.79645 -2.25924 148 148 148 1
-2.15161 0.79918 -2.34686 155 155 155 1
-2.05453 0.80096 -2.42650 144 144 144 1
-1.96475 0.80167 -2.51508 152 152 152 1
-1.86128 0.79896 -2.58668 145 145 145 1
-1.75417 0.80079 -2.65243 144 144 144 1
-1.65550 0.79968 -2.73123 146 146 146 1
-1.54264 0.79888 -2.78720 143 143 143 1
-1.43576 0.79772 -2.85380 146 146 146 1
-1.32126 0.80042 -2.90592 143 143 143 1
-1.20782 0.80023 -2.96045 149 149 149 1
-1.08766 0.80341 -2.99837 143 143 143 1
-0.96932 0.80185 -3.04038 142 142 142 1
-0.85132 0.79986 -3.08454 139 139 139 1
-0.72814 0.80317 -3.11063 139 139 139 1
-0.60458 0.80173 -3.13349 137 137 137 1
-0.48107 0.79853 -3.15580 142 142 142 1
-0.35744 0.79814 -3.17892 138 138 138 1
-0.23180 0.79789 -3.18497 141 141 141 1
-0.10637 0.79775 -3.18873 137 137 137 1
0.01896 0.80198 -3.19198 148 148 148 1
0.14473 0.80263 -3.19991 142 142 142 1
0.26933 0.80013 -3.18005 143 143 143 1
0.39531 0.80047 -3.17847 135 135 135 1
0.51898 0.79907 -3.15573 139 139 139 1
0.64452 0.80010 -3.14366 146 146 146 1
0.76489 0.80140 -3.10579 140 140 140 1
0.88806 0.79581 -3.08034 143 143 143 1
1.01015 0.80124 -3.04930 142 142 142 1
1.12631 0.80028 -3.00035 150 150 150 1
1.24291 0.79738 -2.95362 140 140 140 1
1.35859 0.80195 -2.90464 139 139 139 1
1.47172 0.79703 -2.84995 146 146 146 1
1.57733 0.80082 -2.78142 151 151 151 1
1.68724 0.79961 -2.72114 138 138 138 1
1.79796 0.80405 -2.66120 135 135 135 1
1.89911 0.80034 -2.58656 154 154 154 1
2.00198 0.80494 -2.51420 145 145 145 1
2.09825 0.79822 -2.43328 142 142 142 1
2.17979 0.79967 -2.33632 152 152 152 1
2.27587 0.80135 -2.25566 145 145 145 1
2.36284 0.79627 -2.16541 150 150 150 1
2.45489 0.79903 -2.07923 149 149 149 1
2.53672 0.79635 -1.98359 150 150 150 1
2.60799 0.79921 -1.87979 150 150 150 1
2.68160 0.79813 -1.77787 157 157 157 1
2.74657 0.80144 -1.67023 159 159 159 1
2.80914 0.79721 -1.56132 156 156 156 1
2.86869 0.80130 -1.45076 154 154 154 1
2.92469 0.80548 -1.33831 158 158 158 1
2.97413 0.79814 -1.22282 152 152 152 1
3.03124 0.80739 -1.11004 155 155 155 1
3.05773 0.80175 -0.98611 166 166 166 1
3.09768 0.80132 -0.86704 159 159 159 1
3.12450 0.80035 -0.74432 161 161 161 1
3.15439 0.80003 -0.62243 165 165 165 1
3.17099 0.80041 -0.49798 168 168 168 1
3.19615 0.80206 -0.37480 170 170 170 1
3.21113 0.79714 -0.24998 176 176 176 1
3.21425 0.79742 -0.12429 165 165 165 1
3.22901 1.20343 0.00187 160 160 160 1
3.22475 1.20307 0.12746 160 160 160 1
3.22084 1.19869 0.25312 172 172 172 1
3.20359 1.20076 0.37768 166 166 166 1
3.18638 1.19827 0.50205 177 177 177 1
3.16650 1.19986 0.62608 173 173 173 1
3.14144 1.20451 0.74924 175 175 175 1
3.10480 1.20100 0.86950 169 169 169 1
3.07333 1.19834 0.99122 183 183 183 1
3.02602 1.20028 1.10775 185 185 185 1
2.98955 1.19932 1.22841 176 176 176 1
2.94240 1.19835 1.34523 177 177 177 1
2.88310 1.19790 1.45640 187 187 187 1
2.81491 1.20113 1.56238 183 183 183 1
2.76044 1.19770 1.67605 183 183 183 1
2.68556 1.20113 1.77731 188 188 188 1
2.60856 1.20045 1.87645 183 183 183 1
2.54496 1.19830 1.98575 186 186 186 1
2.46891 1.20270 2.08624 185 185 185 1
2.37505 1.19875 2.17107 180 180 180 1
2.29119 1.20382 2.26464 190 190 190 1
2.19985 1.20566 2.35091 190 190 190 1
2.10315 1.19937 2.43106 190 190 190 1
2.01097 1.20203 2.51672 188 188 188 1
1.90692 1.20359 2.58739 192 192 192 1
1.80002 1.19661 2.65325 193 193 193 1
1.69930 1.19954 2.72849 193 193 193 1
1.59308 1.20168 2.79575 189 189 189 1
1.47927 1.19716 2.84932 194 194 194 1
1.37186 1.20231 2.91601 192 192 192 1
1.25205 1.19936 2.95596 190 190 190 1
1.13220 1.20136 2.99376 195 195 195 1
1.02048 1.19930 3.05511 196 196 196 1
0.89793 1.19959 3.08489 196 196 196 1
0.77701 1.20124 3.11995 191 191 191 1
0.65224 1.19975 3.13800 196 196 196 1
0.52871 1.19813 3.16053 192 192 192 1
0.40448 1.20241 3.17907 196 196 196 1
0.27923 1.20016 3.18857 199 199 199 1
0.15410 1.20225 3.20036 198 198 198 1
0.02843 1.20314 3.20620 195 195 195 1
-0.09709 1.20149 3.19663 198 198 198 1
-0.22264 1.19535 3.19203 194 194 194 1
-0.34804 1.20180 3.18265 193 193 193 1
-0.47156 1.19711 3.15871 200 200 200 1
-0.59444 1.20401 3.13323 199 199 199 1
-0.71875 1.19787 3.11409 194 194 194 1
-0.84069 1.20004 3.08355 199 199 199 1
-0.96494 1.19762 3.05916 192 192 192 1
-1.07950 1.19975 3.00505 200 200 200 1
-1.19650 1.19691 2.95911 194 194 194 1
-1.31203 1.20405 2.90956 187 187 187 1
-1.42303 1.20169 2.85052 185 185 185 1
-1.54102 1.20035 2.80434 194 194 194 1
-1.64910 1.20017 2.73936 190 190 190 1
-1.74738 1.19896 2.65955 191 191 191 1
-1.85234 1.20164 2.59053 198 198 198 1
-1.95133 1.19523 2.51319 190 190 190 1
-2.04927 1.19930 2.43454 185 185 185 1
-2.14508 1.20001 2.35316 193 193 193 1
-2.23604 1.20222 2.26634 188 188 188 1
-2.32316 1.19755 2.17567 189 189 189 1
-2.39929 1.20118 2.07534 184 184 184 1
-2.48502 1.20111 1.98332 187 187 187 1
-2.56075 1.19507 1.88303 182 182 182 1
-2.63745 1.20101 1.78316 190 190 190 1
-2.70076 1.20276 1.67433 180 180 180 1
-2.76490 1.19469 1.56622 178 178 178 1
-2.82853 1.19961 1.45757 177 177 177 1
-2.87379 1.20258 1.33982 178 178 178 1
-2.93235 1.19847 1.22827 177 177 177 1
-2.97796 1.19892 1.11099 173 173 173 1
-3.01279 1.20523 0.99003 170 170 170 1
-3.05567 1.20095 0.87168 179 179 179 1
-3.08118 1.19992 0.74843 169 169 169 1
-3.11426 1.20013 0.62699 169 169 169 1
-3.13035 1.19821 0.50218 167 167 167 1
-3.15203 1.19981 0.37831 174 174 174 1
-3.16640 1.19858 0.25331 171 171 171 1
-3.16749 1.20161 0.12744 165 165 165 1
-3.17636 1.20076 0.00188 172 172 172 1
-3.16935 1.20007 -0.12377 172 172 172 1
-3.15489 1.19889 -0.24866 169 169 169 1
-3.15723 1.20329 -0.37517 160 160 160 1
-3.12844 1.20325 -0.49812 165 165 165 1
-3.10637 1.20215 -0.62168 162 162 162 1
-3.08251 1.20234 -0.74499 160 160 160 1
-3.05529 1.19921 -0.86782 161 161 161 1
-3.01681 1.20070 -0.98758 159 159 159 1
-2.96908 1.19484 -1.10396 157 157 157 1
-2.92245 1.19583 -1.22042 162 162 162 1
-2.87916 1.20055 -1.33854 151 151 151 1
-2.83326 1.19910 -1.45623 155 155 155 1
-2.76573 1.19716 -1.56293 149 149 149 1
-2.70958 1.19745 -1.67598 155 155 155 1
-2.63564 1.20095 -1.77820 153 153 153 1
-2.55748 1.19609 -1.87690 147 147 147 1
-2.48257 1.20509 -1.97763 149 149 149 1
-2.40725 1.19967 -2.07839 153 153 153 1
-2.32142 1.20191 -2.17030 141 141 141 1
